date,open,high,low,close,volume,average,barCount
2025-10-17,248.02,253.38,247.26,252.3,-1.0,-1.0,-1
2025-10-20,255.92,264.38,255.66,262.25,-1.0,-1.0,-1
2025-10-21,261.88,265.29,261.85,262.81,-1.0,-1.0,-1
2025-10-22,262.63,262.84,255.44,258.4,-1.0,-1.0,-1
2025-10-23,259.96,260.62,258.01,259.58,-1.0,-1.0,-1
2025-10-24,261.11,264.13,259.19,262.8,-1.0,-1.0,-1
2025-10-27,264.94,269.08,264.66,268.75,-1.0,-1.0,-1
2025-10-28,269.0,269.87,268.15,269.02,-1.0,-1.0,-1
2025-10-29,269.3,271.4,267.11,269.69,-1.0,-1.0,-1
2025-10-30,271.96,274.14,268.48,271.32,-1.0,-1.0,-1
2025-10-31,276.99,277.31,269.15,270.25,-1.0,-1.0,-1
2025-11-03,270.45,270.84,266.25,269.05,-1.0,-1.0,-1
2025-11-04,268.14,271.48,267.63,270.18,-1.0,-1.0,-1
